input,reference
"Cave paintings are the window into the aesthetic sensitivity and creativeness of ancient humans.' Discuss the statement with reference to ancient Indian cave paintings. (10 marks, 150 words)","Cave paintings are made on the walls of Cave using the mural techniques by using different mediums. Window of Cave paintings as aesthetic sensitivity & creativity _ Bhimbetka paintings: It depicted the life of mesolithic people (eg) dancing, hunting, etc. _ Ajanta and Ellora paintings: these are the most aesthetic and delicately made paintings (eg) scene of vishnu. _ Lepakshi painting: In South India these paintings used various coloured hues including the Gold. _ Bagh Cave paintings showed the life style of people at that time.Significance of Cave paintings

Important source of history

Shows the scientific and technological advancement as paintings war made on walls and still intact.

Artistic sense of ancient people.

Religious significance As Ajanta and Allora are give the status of UNESCO'S WHS the protection of these cave paintings are very Important for Cultural consciousness of India."
"Evaluate the role of subsidiary alliance policy in turning 'the British Empire in India' into 'the British Empire of India'. (10 marks, 150 words)","Subsidiary alliance was the brain child of French governor Dupleix but in real sense executed by Wellesley in India. Features of Subsidiary Alliance (SA)

Protection to the Indian ruler with the condition that Indian can't meet any foreigner without British permission. 2. Staying of British resident in the territory of Indian ruler on expense of Indian. 3. Providing autonomy to Indian but the cost to be beared by Indian. 4. No interference in internal matter of Indians. Role of SA making British Empire in India to British Empire of India. _ Protected British from the wrath of Napolean which was the threat to British in 1890s. 2 weakened the authority of Indian princes. and made them puppet. 3 Burden on exchequer of Indian princes depleted the economic strength. 4 Provided British the necessary land and revenue to continue its policy of annexation and expansion. this made the Indian rulers empty from inside and British Controlled the all aspects of Indian political structure leading them to become supreme controller of India In 1858 by Act of Betterment."
"Mass nationalism was a watershed in the Indian freedom struggle towards independence. How did the Indian Business community react to it? Discuss. (10 marks, 150 words)","Indian freedom struggle has 3 different phases. Ist-moderate phase, IInd- extremist phase and IIIrd was the Gandhian phase.

After advent of Gandhiji the Indian Struggle truly became mass struggle which can be seen in Non-co-operation movement, Civil disobeidient movement etc.

Mass Nationalization of Indian Industries

During the Swadesi and Boycott in 1905 Indians resorted to focus on National products. eg Goods made by Indians.

later after the division of Bengal in 1905, by Curzon. the people resort to Nationalization of - (a) Educational Institutions eg National Council of Education 1906


(b) Natimalization of Swadesi Navigation Company by P.C ray. (c) Chemical factory by Homi Bhabha etc. (d) Kashi Vidya peeth, Jamia milia Islamia ek. during the NCNg

Reaction y Indian Business Community :

Indian were facing discriminatim from the Brinsh, so most of them supported the Change.

This the mass nationalisation led the much needed change towards the goal of Independence and also reduce the Drain of weath at that time"
"Do you agree that non-alignment adopted after independence formed the bed-rock of Indian Foreign policy. Substantiate. (10 marks, 150 words)","After the end of World War II the globe Was divided between two superpowers that is USA and USSR. India faced the challenge, to deal with this India adoped Non Alignment.

Non Alignment as the bedrock of Indian Foreign policy:

_ It was based on the self determinatias and freedom of choice [eg] still prevalent as Indian PM visit to Russia

_ Principle of non interference and Constructive contribution [eg] Budia being the 2nd largest Contributor to UN peacekeeping.

_ having positive engagement will all


eg engagement With USA & Russia hand in hand at todays time.

_ Strategic autonomy: autonomy to deal with any body In national interest.

_ Focus on economic developement: & Keeping away from the global tensions and focusing on growth eg Not commenting on Ukraine - Russia war, Israel - Hamas fight.

However the position of India has change Since 1960s, Now India sees its as a global leader, So India must engage with global power In matters of Climate change, Poverty, terrorism and Sustainable developement- then Only Indian Can become ViswaGuru."
"Sustainable urban development needs mindful reassessment of land use patterns. Discuss. (10 marks, 150 words)","India Launched SMART City Mission to make Urban developement Sustainable and to Increase the ease of Urban Living.

Sustainable Urban Developement (SUD):

Proper Drainage Pattern

Reduced Pollution and Urban forest

Equipped with moder facilities Such as EV charging Station

adequate Space for all e.g. parks

Need for Reassessment of land use pattern for SUD

According to the WB & Indian Urban population is going to be 65% by 2050 so to accomodate huge population

to build cities based on International Standards eg Proper traffic management System.

(3) Ease of Living : Proper space for Children to play.

(4) Environmental cleanliness & rising air pollution is a persistant problem. so sol_ is Urban forest and Miawaki

(5) Clusters of diverse activities: from sports to entertainment. eg film city at Noida

However cities like Delhi are so Congested (11 crore person/km) and making it Sustainable will require huge efforts along with money. so the solution is developing new cities with keeping in mind all the aspect of Sustainable Urban developent."
"Socio-cultural factors more than economic factors influence women migration patterns in India. Discuss. (10 marks, 150 words)","Migration of women from one place to other is due to many factors such as better Job opportunity, marriage. etc.

Economic factors for migration _ Pull factor (i) Better quality of life at cities eg Movement towards Delhi & Bengaluru (ii) Better quality of job. (iii) freedom of choice and expression (eg) Couple Living (Live-in-relationship) in cities. (IV) Educational Institution (eg) IITs & IIMs.

_ Push factor: (i) lack of opportunities at rural areas (ii) Discrimination & Violence at home eg 33% come of domestic violence by family & husband.

Socio-Cultural factus (A) Marriage : Out of 100 women migrating 49 migrate due to marriages (B) To take care of family : old parents are dependent on women. (C) Due to festivals : migration back to home from Urban centers.

This the migration of women is more due to socio-cultural factors rather than economic facts. this context government must make policies to accomodate the migrating women in Urban centers."
"Discuss the significance of the IT industries in promoting regional development in India. (10 marks, 150 words)","IT Industry is the largest contributor to Service sector jobs in India

IT industry leading to regional development in India

Regional centers of excellence [eg] Bengalure Hyderabad developing regions around them

New announcement of IT City in Lucknow will give boast to growth of UP people and north India

IT Solutions helping regional growths [eg] _ UPI and Aadhar

_ Land record modernisation by digital India.

However, IT industry requires skilled youth. So it creates a divide in skilled and non/less skilled. (1) Only 4-8% formally skilled youth. (2) Clusters of IT industries and not widespread (e.g. South India). (3) Service based only.

This IT industry has huge potential to holistic development however its reach is limited. So to realise its potential government so bring it to all over India."
"Explain the formation of islands in the Indian Ocean Region with suitable examples.
(10 marks, 150 words)",Countries 1 Malaysia: one of the largest producer 2 Indonesia 3 South American Countries such as Argentina Venezuela etc. Major Environmental issues faced by the palm oil producing countries 1 water scarcity : palm oil is water guzzling crop. so it is depleting ground water very quickly. 2 Allelopathic effect on nearby plants due to release of unique chemical. 3 Huge deforestation to plant the crop 4 Habitat destruction to wildlife due to destruction to forest. 5 threat to diversity of cropping pattern.
"Mahatma Gandhi described himself as a 'true disciple' of Balgangadhar Tilak despite having political differences. In this context, analyse the similarities and differences between Gandhian methods and extremism.
(15 marks, 250 words)","Mahatma Gandhi was the leader of masses So was the Balgangadhar Tilak, however Tilak was more of a extremist leader and dominated till arrival of Gandhi ji. After 1915 it was total dominance of Gandhiji's leadership [Gandhian era 1915 to 1947]

Despite having difference Gandhi ji still Considered him as political guru because of the following similarities -

_ Political Approach: Both believed the ability of Masses [eg] Home Rule (Tilak) and NCM, CDM (Gandhiji)

_ Commitment towards the betterment of lives of Indians: [eg] Tilak's Condemning the British policies and sent to Jail U/ 124 A (Sedition)

Similarly Gandhi ji also sent to Yarwada Jail after CDM arrest. 3 Solidarity towards culture and traditions of India : eg) Shivaji festivals and Gaupan&#x27; festivals by Tilak and Cottage industry and panchayati raj promotion by Gandhiji 4 Selflessness : Both faced many challenges towards the independence of nation. 5 Both were anratory writers and believed in Skilling and educating the youth eg) Kesari &amp; Maratha (Tilak), Hind Swaraj and (young India) Gandhiji However there were differences in some areas of ideologies eg Tilak was of extremist ideology and Gandhiji was of Liberal ideology. Extremism [difference] Gandhian method 1 organised festivals to train the youth to fight against Brihsh 2 Construction programm focused on reforms such as ancti liquor said 'Swaraj is my birth right and I shall take it.

Hindu Muslim Unity, and women participation, Charkha training. etc.

2. believed in Nonviolence and passive resistance that is Satyagraha.

3. Tilak did not believed the intention of British and always followed the Self rule.

3. Gandhi ji believed the humane nature of British and also followed the Civil disobedient method.

Therefore it can be said that despite having differences in ideologies the end goal of both was same to make India free from foreign Rule. And that is seen in give Bharat Ratna to Both of these leaders and also India is celebrating contribution of leader in this era of 'Amritkaal'."
"Describe the distribution of major palm oil producing countries. Also, indicate the major environmental issues faced by them. (15 marks, 250 words)","India Imports almost 80%. et edible oil demand and palm oil being the one of the constituent of 'et.

<::diagram: Palm oil
- temp - 20-30¡C
- Rainfall - 180-200 cm
- tropical evergreen Climate
- takes 4-5 yrs to mature
- It is plantation Crop
- South American origin::>

Major Palm oil producing Countries

<::map: A hand-drawn world map showing:
- NA (North America)
- SA (South America)
- Africa.
- Emper (Europe/Eurasia)
- Asia.
- A shaded belt across the equator indicating the ""Major Palm oil producing Belt"".::>

Major Palm oil producing Belt

Countries 1 Malaysia: one of the largest producer 2 Indonesia 3 South American Countries such as Argentina Venezuela etc. Major Environmental issues faced by the palm oil producing countries 1 water scarcity : palm oil is water guzzling crop. so it is depleting ground water very quickly. 2 Allelopathic effect on nearby plants due to release of unique chemical. 3 Huge deforestation to plant the crop 4 Habitat destruction to wildlife due to destruction to forest. 5 threat to diversity of cropping pattern.

Indian government also trying to increase its palm oil production in NE region and Andaman and Nicobar Island Under National mission on oil seeds and oil palms to Increase the production and reduce the import dependence also saving forex and reducing fiscal deficit.
This the palm oil production is Vital to food security of India and India must not find ways to reduce the import dependence and the palm producing countries must find ways to reduce the Impact on environment.

"
